,SIC,SIC Industry,2002 NAICS,NAICS Industry,SIC to NAICS Employment Ratio,SIC_clean
1073,6140,Personal credit institutions,522200,Nondepository credit intermediation,97.9,
1075,6150,Business credit institutions,522200,Nondepository credit intermediation,74.0,
1076,6150,Business credit institutions,522300,Activities related to credit intermediation,22.5,
1078,6160,Mortgage bankers and brokers,522200,Nondepository credit intermediation,67.5,
1079,6160,Mortgage bankers and brokers,522300,Activities related to credit intermediation,30.6,
1081,6210,Security brokers and dealers,523200,Securities and commodity contracts brokerage & exchanges,95.6,
1084,6230,"Commodity contracts brokers, dealers, and exchanges",523200,Securities and commodity contracts brokerage & exchanges,100.0,
1085,6280,Security and commodity services,523900,Other financial investment activities,99.1,
1086,6710,Holding offices,550000,Management of companies and enterprises,99.4,
1087,6730,Trusts,813200,Grantmaking and giving services,72.6,
1091,6790,Investment offices and miscellaneous investing,525900,Other investment pools and funds,39.8,
1092,6790,Investment offices and miscellaneous investing,533000,Lessors of nonfinancial intangible assets,33.3,
1093,6790,Investment offices and miscellaneous investing,523900,Other financial investment activities,22.3,
1095,6310,Life insurance,524100,Insurance carriers,96.9,
1097,6320,Medical service and health insurance,524100,Insurance carriers,93.2,
1100,6330,"Fire, marine, and casualty insurance",524100,Insurance carriers,90.3,
1104,6360,Title insurance,524100,Insurance carriers,97.4,
1106,6390,"Surety insurance and insurance carriers, nec",524100,Insurance carriers,30.6,
1107,6390,"Surety insurance and insurance carriers, nec",524200,"Insurance agencies, brokerages, and related services",30.0,
1108,6390,"Surety insurance and insurance carriers, nec",525100,Insurance and employee benefit funds,25.2,
1111,6410,"Insurance agents, brokers, and services",524200,"Insurance agencies, brokerages, and related services",99.4,
1112,6510,Real estate operators and lessors,531100,Lessors of real estate,97.3,
1115,6530,Real estate agents and managers,531300,Activities related to real estate,56.4,
1116,6530,Real estate agents and managers,531200,Offices of real estate agents and brokers,37.4,
1119,6540,Title abstract offices,541100,Legal services,98.8,
1121,6550,Subdividers and developers,237200,Land subdivision,71.1,
1122,6550,Subdividers and developers,812200,Death care services,27.1,
1124,0740,Veterinary services,541900,Other professional and technical services,99.9,
1125,0750,"Animal services, except veterinary",812900,Other personal services,53.4,
1127,0780,Landscape and horticultural services,561700,Services to buildings and dwellings,93.1,
1129,7010,Hotels and motels,721100,"Traveler accommodations, & other longer-term accommodations",98.9,
1130,7030,Camps and recreational vehicle parks,721200,RV parks and recreational camps,99.5,
1131,7040,"Rooming & boarding houses, membership-basis org. hotels",721100,"Traveler accommodations, & other longer-term accommodations",99.8,
1132,7210,"Laundry, cleaning, and garment services",812300,Dry-cleaning and laundry services,87.2,
1135,7220,"Photographic studios, portrait",541900,Other professional and technical services,99.3,
1136,7230,Beauty shops,812100,Personal care services,96.8,
1138,7240,Barber shops,812100,Personal care services,96.0,
1140,7250,Shoe repair shops and shoeshine parlors,811400,Household goods repair and maintenance,96.1,
1142,7260,Funeral service and crematories,812200,Death care services,99.6,
1143,7290,Miscellaneous personal services,541200,Accounting and bookkeeping services,51.2,
1144,7290,Miscellaneous personal services,812100,Personal care services,26.2,
1147,7310,Advertising,541800,Advertising and related services,99.6,
1148,7320,Credit reporting and collection,561400,Business support services,96.4,
1150,7330,"Mailing, reproduction, and stenographic services",561400,Business support services,33.2,
1151,7330,"Mailing, reproduction, and stenographic services",541800,Advertising and related services,26.0,
1152,7330,"Mailing, reproduction, and stenographic services",541400,Specialized design services,23.8,
1156,7340,Services to buildings,561700,Services to buildings and dwellings,99.3,
1157,7350,Miscellaneous equipment rental and leasing,532200,Consumer goods rental,36.9,
1158,7350,Miscellaneous equipment rental and leasing,532400,Machinery and equipment rental and leasing,27.7,
1159,7350,Miscellaneous equipment rental and leasing,532300,General rental centers,22.6,
1163,7360,Personnel supply services,561300,Employment services,97.7,
1165,7370,Computer and data processing services,541500,Computer systems design and related services,58.0,
1173,7380,Miscellaneous business services,561600,Investigation and security services,38.4,
1174,7380,Miscellaneous business services,561400,Business support services,26.8,
1182,7510,"Automotive rentals, without drivers",532100,Automotive equipment rental and leasing,93.9,
1184,7520,Automobile parking,812900,Other personal services,97.2,
1186,7530,Automotive repair shops,811100,Automotive repair and maintenance,98.3,
1188,7540,"Automotive services, except repair",811100,Automotive repair and maintenance,82.8,
1190,7620,Electrical repair shops,811200,Electronic equipment repair and maintenance,49.3,
1195,7640,Reupholstery and furniture repair,811400,Household goods repair and maintenance,97.1,
1197,7690,Watch and miscellaneous repair shops,811300,Commercial machinery repair and maintenance,59.1,
1206,7810,Motion picture production and services,512100,Motion picture and video industries,74.5,
1212,7820,Motion picture distribution and services,512100,Motion picture and video industries,75.5,
1218,7830,Motion picture theaters,512100,Motion picture and video industries,98.5,
1220,7840,Video tape rental,532200,Consumer goods rental,98.7,
1222,7910,"Dance studios, schools, and halls",611600,Other schools and instruction,89.3,
1224,7920,"Producers, orchestras, and entertainers",711100,Performing arts companies,60.8,
1225,7920,"Producers, orchestras, and entertainers",711300,"Arts and sports promoters, & agents & managers for public figures",22.0,
1231,7930,Bowling centers,713900,Other amusement and recreation industries,99.5,
1232,7940,Commercial sports,711200,Spectator sports,82.2,
1234,7990,Miscellaneous amusement and recreation services,713900,Other amusement and recreation industries,67.3,
1238,8010,Offices and clinics of medical doctors,621100,Offices of physicians,92.5,
1241,8020,Offices and clinics of dentists,621200,Offices of dentists,99.8,
1242,8030,Offices and clinics of osteopathic physician,621100,Offices of physicians,99.8,
1243,8040,Offices and clinics of other health practitioners,621300,Offices of other health practitioners,99.3,
1244,8050,Nursing and personal care facilities,623100,Nursing care facilities,83.7,
1247,8060,Hospitals,622100,General medical and surgical hospitals,93.6,
1250,8070,Medical and dental laboratories,621500,Medical and diagnostic laboratories,75.8,
1251,8070,Medical and dental laboratories,339100,Medical equipment and supplies,21.5,
1253,8080,Home health care services,621600,Home health care services,98.7,
1254,8090,"Health and allied services, nec",621400,Outpatient care centers,76.2,
1255,8090,"Health and allied services, nec",621900,Other ambulatory health care services,20.4,
1257,8110,Legal services,541100,Legal services,99.1,
1258,8210,Elementary and secondary schools,611100,Elementary and secondary schools,99.4,
1259,8220,Colleges and universities,611300,Colleges and universities,94.2,
1262,8230,Libraries,519000,Other information services,99.9,
1263,8240,Vocational schools,611500,Technical and trade schools,55.3,
1264,8240,Vocational schools,611400,"Business, computer, and management training",44.0,
1265,8290,"Schools and educational services, nec",611600,Other schools and instruction,58.6,
1266,8290,"Schools and educational services, nec",611400,"Business, computer, and management training",20.8,
1269,8320,Individual and family services,624100,Individual and family services,83.5,
1272,8330,Job training and related services,624300,Vocational rehabilitation services,97.3,
1274,8350,Child day care services,624400,Child day care services,98.8,
1276,8360,Residential care,623200,Residential mental health facilities,45.7,
1277,8360,Residential care,623300,Community care facilities for the elderly,32.6,
1280,8390,"Social services, nec",813300,Social advocacy organizations,59.9,
1281,8390,"Social services, nec",813200,Grantmaking and giving services,37.8,
1283,8420,Museums and botanical and zoological gardens,712000,"Museums, historical sites, zoos, and parks",99.4,
1284,8610,Business associations,813900,Professional and similar organizations,99.7,
1285,8620,Professional organizations,813900,Professional and similar organizations,97.7,
1287,8630,Labor organizations,813900,Professional and similar organizations,99.1,
1288,8640,Civic and social associations,813400,Civic and social organizations,87.1,
1292,8660,Religious organizations,813100,Religious organizations,99.3,
1293,8690,"Political and membership organizations, nec",561500,Travel arrangement and reservation services,36.2,
1294,8690,"Political and membership organizations, nec",813900,Professional and similar organizations,21.9,
1295,8690,"Political and membership organizations, nec",813300,Social advocacy organizations,20.1,
1298,8710,Engineering and architectural services,541300,Architectural and engineering services,99.3,
1299,8720,"Accounting, auditing, and bookkeeping",541200,Accounting and bookkeeping services,99.2,
1300,8730,Research and testing services,541700,Scientific research and development services,65.7,
1303,8740,Management and public relations,541600,Management and technical consulting services,56.0,
1304,8740,Management and public relations,561100,Office administrative services,22.6,
1310,8990,"Services, nec",541600,Management and technical consulting services,45.6,
1311,8990,"Services, nec",711500,"Independent artists, writers, and performers",26.3,
