SIC,SIC Industry,2002 NAICS,NAICS Industry,SIC to NAICS Employment Ratio
31-3350,Nonferrous rolling and drawing,31-331400,Other nonferrous metal production,38.9
31-3350,Nonferrous rolling and drawing,31-331300,Alumina and aluminum production,37.5
31-3350,Nonferrous rolling and drawing,31-335900,Other electrical equip. and components,20.8
31-3350,Nonferrous rolling and drawing,60-550000,Management of companies and enterprises,2.4
31-3360,Nonferrous foundries (castings),31-331500,Foundries,99.4
31-3390,Miscellaneous primary metal products,31-332800,"Coating, engraving, and heat treating metals",73.3
31-3390,Miscellaneous primary metal products,31-331400,Other nonferrous metal production,12.8
31-3390,Miscellaneous primary metal products,31-331200,Steel products from purchased steel,8.1
31-3390,Miscellaneous primary metal products,31-332600,Spring and wire products,2.8
31-3390,Miscellaneous primary metal products,31-331300,Alumina and aluminum production,2.1
31-3410,Metal cans and shipping containers,31-332400,"Boilers, tanks, and shipping containers",96.9
31-3410,Metal cans and shipping containers,60-550000,Management of companies and enterprises,2.8
31-3420,"Cutlery, handtools, and hardware",31-332200,Cutlery and hand tools,46.3
31-3420,"Cutlery, handtools, and hardware",31-332500,Hardware,39
31-3420,"Cutlery, handtools, and hardware",31-332900,Other fabricated metal products,5.2
31-3420,"Cutlery, handtools, and hardware",31-332700,Machine shops and threaded products,2.6
31-3420,"Cutlery, handtools, and hardware",31-336300,Motor vehicle parts,2.5
31-3420,"Cutlery, handtools, and hardware",31-337200,Office furniture and fixtures,1.2
31-3430,"Plumbing and heating, except electric",31-332900,Other fabricated metal products,65
31-3430,"Plumbing and heating, except electric",31-333400,HVAC and commercial refrigeration equip.,31.8
31-3430,"Plumbing and heating, except electric",60-550000,Management of companies and enterprises,1.6
31-3440,Fabricated structural metal products,31-332300,Architectural and structural metals,84.4
31-3440,Fabricated structural metal products,31-332400,"Boilers, tanks, and shipping containers",12.2
31-3440,Fabricated structural metal products,31-332100,Forging and stamping,1.3
31-3440,Fabricated structural metal products,31-333400,HVAC and commercial refrigeration equip.,1.1
31-3450,"Screw machine products, bolts, etc",31-332700,Machine shops and threaded products,98.4
31-3450,"Screw machine products, bolts, etc",60-550000,Management of companies and enterprises,1.2
31-3460,Metal forgings and stampings,31-336300,Motor vehicle parts,48.2
31-3460,Metal forgings and stampings,31-332100,Forging and stamping,46.9
31-3460,Metal forgings and stampings,31-332200,Cutlery and hand tools,2.1
31-3460,Metal forgings and stampings,31-332400,"Boilers, tanks, and shipping containers",1.7
31-3470,"Metal services, nec",31-332800,"Coating, engraving, and heat treating metals",98.7
31-3470,"Metal services, nec",31-339900,Other miscellaneous manufacturing,1.1
31-3480,"Ordnance and accessories, nec",31-332900,Other fabricated metal products,99.8
31-3490,Miscellaneous fabricated metal products,31-332900,Other fabricated metal products,61.6
31-3490,Miscellaneous fabricated metal products,31-332600,Spring and wire products,25.9
31-3490,Miscellaneous fabricated metal products,31-332100,Forging and stamping,4.6
31-3490,Miscellaneous fabricated metal products,31-336300,Motor vehicle parts,1.6
31-3490,Miscellaneous fabricated metal products,31-332400,"Boilers, tanks, and shipping containers",1.5
31-3490,Miscellaneous fabricated metal products,60-550000,Management of companies and enterprises,1.2
31-3510,Engines and turbines,31-333600,Turbine and power transmission equipment,88.2
31-3510,Engines and turbines,60-541700,Scientific research and development services,6
31-3510,Engines and turbines,60-550000,Management of companies and enterprises,3.3
31-3510,Engines and turbines,31-336300,Motor vehicle parts,1.9
31-3520,Farm and garden machinery,31-333100,"Ag., construction, and mining machinery",87.5
31-3520,Farm and garden machinery,60-550000,Management of companies and enterprises,4
31-3520,Farm and garden machinery,31-332200,Cutlery and hand tools,3.5
31-3520,Farm and garden machinery,31-332300,Architectural and structural metals,2.9
31-3520,Farm and garden machinery,31-333900,Other general purpose machinery,1.4
31-3530,Construction and related machinery,31-333100,"Ag., construction, and mining machinery",57.4
31-3530,Construction and related machinery,31-333900,Other general purpose machinery,39
31-3530,Construction and related machinery,60-550000,Management of companies and enterprises,1.3
31-3540,Metalworking machinery,31-333500,Metalworking machinery,82.5
31-3540,Metalworking machinery,31-333900,Other general purpose machinery,10.8
31-3540,Metalworking machinery,31-332200,Cutlery and hand tools,3.2
31-3540,Metalworking machinery,31-332900,Other fabricated metal products,2.4
31-3550,Special industry machinery,31-333200,Industrial machinery,94.3
31-3550,Special industry machinery,31-333300,Commercial and service industry machinery,2.9
31-3550,Special industry machinery,60-550000,Management of companies and enterprises,1.2
31-3560,General industrial machinery,31-333900,Other general purpose machinery,52.7
31-3560,General industrial machinery,31-332900,Other fabricated metal products,16.2
31-3560,General industrial machinery,31-333400,HVAC and commercial refrigeration equip.,14.4
31-3560,General industrial machinery,31-333600,Turbine and power transmission equipment,14.2
31-3560,General industrial machinery,60-550000,Management of companies and enterprises,1.7
31-3570,Computer and office equipment,31-334100,Computer and peripheral equipment,84.1
31-3570,Computer and office equipment,60-550000,Management of companies and enterprises,4.7
31-3570,Computer and office equipment,31-333300,Commercial and service industry machinery,4.6
31-3570,Computer and office equipment,41-423400,Commercial equipment,2
31-3570,Computer and office equipment,60-541700,Scientific research and development services,1.3
31-3580,Refrigeration and service machinery,31-333400,HVAC and commercial refrigeration equip.,60.4
31-3580,Refrigeration and service machinery,31-333300,Commercial and service industry machinery,27.9
31-3580,Refrigeration and service machinery,31-336300,Motor vehicle parts,9
31-3580,Refrigeration and service machinery,31-333900,Other general purpose machinery,2
31-3590,Miscellaneous industrial and commercial machinery,31-332700,Machine shops and threaded products,69.7
31-3590,Miscellaneous industrial and commercial machinery,31-333900,Other general purpose machinery,16.6
31-3590,Miscellaneous industrial and commercial machinery,31-336300,Motor vehicle parts,6.8
31-3590,Miscellaneous industrial and commercial machinery,31-332800,"Coating, engraving, and heat treating metals",2.4
31-3590,Miscellaneous industrial and commercial machinery,31-332900,Other fabricated metal products,1.9
31-3590,Miscellaneous industrial and commercial machinery,31-333300,Commercial and service industry machinery,1.8
31-3610,Electric distribution equipment,31-335300,Electrical equipment,96.9
31-3610,Electric distribution equipment,60-550000,Management of companies and enterprises,2.1
31-3620,Electrical industrial apparatus,31-335300,Electrical equipment,82.7
31-3620,Electrical industrial apparatus,31-335900,Other electrical equip. and components,16
31-3620,Electrical industrial apparatus,60-550000,Management of companies and enterprises,1.1
31-3630,Household appliances,31-335200,Household appliances,92.4
31-3630,Household appliances,31-333400,HVAC and commercial refrigeration equip.,2.2
31-3630,Household appliances,60-550000,Management of companies and enterprises,2.1
31-3630,Household appliances,43-493000,Warehousing and storage,1.8
31-3640,Electric lighting and wiring equipment,31-335100,Electric lighting equipment,44.6
31-3640,Electric lighting and wiring equipment,31-335900,Other electrical equip. and components,42.1
31-3640,Electric lighting and wiring equipment,31-336300,Motor vehicle parts,10.1
31-3640,Electric lighting and wiring equipment,60-550000,Management of companies and enterprises,1.7
31-3650,Household audio and video equipment,31-334300,Audio and video equipment,62.8
31-3650,Household audio and video equipment,31-334600,Magnetic media mfg. and reproduction,22.6
31-3650,Household audio and video equipment,50-512200,Sound recording industries,8.1
31-3650,Household audio and video equipment,60-550000,Management of companies and enterprises,5.9
31-3660,Communications equipment,31-334200,Communications equipment,85.2
31-3660,Communications equipment,60-541700,Scientific research and development services,7.1
31-3660,Communications equipment,31-334400,Semiconductors and electronic components,5.6
31-3660,Communications equipment,60-550000,Management of companies and enterprises,1.4
31-3670,Electronic components and accessories,31-334400,Semiconductors and electronic components,95.6
31-3670,Electronic components and accessories,60-550000,Management of companies and enterprises,2.5
31-3670,Electronic components and accessories,31-334200,Communications equipment,1.2
31-3690,Miscellaneous electrical equipment and supplies,31-336300,Motor vehicle parts,45
31-3690,Miscellaneous electrical equipment and supplies,31-335900,Other electrical equip. and components,39.6
31-3690,Miscellaneous electrical equipment and supplies,31-334600,Magnetic media mfg. and reproduction,5.5
31-3690,Miscellaneous electrical equipment and supplies,31-333300,Commercial and service industry machinery,5
31-3690,Miscellaneous electrical equipment and supplies,60-550000,Management of companies and enterprises,2
31-3690,Miscellaneous electrical equipment and supplies,31-333900,Other general purpose machinery,1.4
31-3710,Motor vehicles and equipment,31-336300,Motor vehicle parts,49.6
31-3710,Motor vehicles and equipment,31-336100,Motor vehicles,29.4
31-3710,Motor vehicles and equipment,31-336200,Motor vehicle bodies and trailers,13.4
31-3710,Motor vehicles and equipment,60-550000,Management of companies and enterprises,3
31-3710,Motor vehicles and equipment,60-541300,Architectural and engineering services,2.4
31-3710,Motor vehicles and equipment,60-541700,Scientific research and development services,1.2
31-3720,Aircraft and parts,31-336400,Aerospace products and parts,94.1
31-3720,Aircraft and parts,31-332900,Other fabricated metal products,2.2
31-3720,Aircraft and parts,60-550000,Management of companies and enterprises,2
31-3730,Ship and boat building and repairing,31-336600,Ship and boat building,90.9
31-3730,Ship and boat building and repairing,80-811400,Household goods repair and maintenance,5.5
31-3730,Ship and boat building and repairing,43-488300,Support activities for water transportation,2.9
31-3740,Railroad equipment,31-336500,Railroad rolling stock,88.9
31-3740,Railroad equipment,31-333900,Other general purpose machinery,8.7
31-3740,Railroad equipment,60-550000,Management of companies and enterprises,2.2
31-3750,"Motorcycles, bicycles, and parts",31-336900,Other transportation equipment,98.7
31-3760,"Guided missiles, space vehicles, and parts",31-336400,Aerospace products and parts,90.7
31-3760,"Guided missiles, space vehicles, and parts",60-541700,Scientific research and development services,5.7
31-3760,"Guided missiles, space vehicles, and parts",60-550000,Management of companies and enterprises,2.3
31-3760,"Guided missiles, space vehicles, and parts",60-541500,Computer systems design and related services,1.3
31-3790,Miscellaneous transportation equipment,31-336200,Motor vehicle bodies and trailers,61.5
31-3790,Miscellaneous transportation equipment,31-336900,Other transportation equipment,32
31-3790,Miscellaneous transportation equipment,31-336300,Motor vehicle parts,4.1
31-3790,Miscellaneous transportation equipment,31-333900,Other general purpose machinery,1.8
31-3810,Search and navigation equipment,31-334500,Electronic instruments,98.3
31-3810,Search and navigation equipment,60-550000,Management of companies and enterprises,1.1
31-3820,Measuring and controlling devices,31-334500,Electronic instruments,84.4
31-3820,Measuring and controlling devices,31-333300,Commercial and service industry machinery,9.4
31-3820,Measuring and controlling devices,31-339100,Medical equipment and supplies,4
31-3820,Measuring and controlling devices,60-550000,Management of companies and enterprises,1.4
31-3840,Medical instruments and supplies,31-339100,Medical equipment and supplies,70.6
31-3840,Medical instruments and supplies,31-334500,Electronic instruments,22.9
31-3840,Medical instruments and supplies,60-550000,Management of companies and enterprises,2.8
31-3840,Medical instruments and supplies,32-322200,Converted paper products,1.9
31-3840,Medical instruments and supplies,31-339900,Other miscellaneous manufacturing,1.1
31-3850,Ophthalmic goods,31-339100,Medical equipment and supplies,96.7
31-3850,Ophthalmic goods,60-550000,Management of companies and enterprises,2.5
31-3860,Photographic equipment and supplies,32-325900,Other chemical products and preparations,57.4
31-3860,Photographic equipment and supplies,31-333300,Commercial and service industry machinery,34.3
31-3860,Photographic equipment and supplies,60-550000,Management of companies and enterprises,7.8
31-3870,"Watches, clocks, watchcases, and parts",31-334500,Electronic instruments,98.9
31-3870,"Watches, clocks, watchcases, and parts",60-550000,Management of companies and enterprises,1
31-3910,"Jewelry, silverware, and plated ware",31-339900,Other miscellaneous manufacturing,93
31-3910,"Jewelry, silverware, and plated ware",60-550000,Management of companies and enterprises,3.6
31-3910,"Jewelry, silverware, and plated ware",31-332900,Other fabricated metal products,1.3
31-3910,"Jewelry, silverware, and plated ware",31-332200,Cutlery and hand tools,1.3
31-3930,Musical instruments,31-339900,Other miscellaneous manufacturing,99.2
31-3940,Toys and sporting goods,31-339900,Other miscellaneous manufacturing,94.5
31-3940,Toys and sporting goods,60-550000,Management of companies and enterprises,4.2
31-3950,"Pens, pencils, office, and art supplies",31-339900,Other miscellaneous manufacturing,97
31-3950,"Pens, pencils, office, and art supplies",60-550000,Management of companies and enterprises,1.2
31-3960,Costume jewelry and notions,31-339900,Other miscellaneous manufacturing,96.1
31-3960,Costume jewelry and notions,60-541200,Accounting and bookkeeping services,2.5
31-3960,Costume jewelry and notions,60-550000,Management of companies and enterprises,1.4
31-3990,Miscellaneous manufactures,31-339900,Other miscellaneous manufacturing,84.2
31-3990,Miscellaneous manufactures,32-326100,Plastics products,4.7
31-3990,Miscellaneous manufactures,31-332900,Other fabricated metal products,3.9
31-3990,Miscellaneous manufactures,32-323000,Printing and related support activities,2.4
31-3990,Miscellaneous manufactures,31-335100,Electric lighting equipment,1.1
32-2010,Meat products,32-311600,Animal slaughtering and processing,96.4
32-2010,Meat products,32-311900,Other food products,1.5
32-2010,Meat products,60-550000,Management of companies and enterprises,1.5
32-2020,Dairy products,32-311500,Dairy products,92.8
32-2020,Dairy products,60-550000,Management of companies and enterprises,4.8
32-2030,Preserved fruits and vegetables,32-311400,Fruit and vegetable preserving and specialty,88.1
32-2030,Preserved fruits and vegetables,32-311900,Other food products,6.2
32-2030,Preserved fruits and vegetables,60-550000,Management of companies and enterprises,4.5
32-2040,Grain mill products,32-311100,Animal food,43.2
32-2040,Grain mill products,32-311200,Grain and oilseed milling,35.3
32-2040,Grain mill products,32-311800,Bakeries and tortilla manufacturing,12.4
32-2040,Grain mill products,60-550000,Management of companies and enterprises,4.7
32-2040,Grain mill products,32-311600,Animal slaughtering and processing,1.2
32-2040,Grain mill products,60-541700,Scientific research and development services,1.1
32-2050,Bakery products,32-311800,Bakeries and tortilla manufacturing,95
32-2050,Bakery products,60-550000,Management of companies and enterprises,2.5
32-2050,Bakery products,32-311900,Other food products,2.1
32-2060,Sugar and confectionery products,32-311300,Sugar and confectionery products,85.7
32-2060,Sugar and confectionery products,32-311900,Other food products,8.7
32-2060,Sugar and confectionery products,60-550000,Management of companies and enterprises,4.9
32-2070,Fats and oils,32-311200,Grain and oilseed milling,66.2
32-2070,Fats and oils,32-311600,Animal slaughtering and processing,25.9
32-2070,Fats and oils,60-550000,Management of companies and enterprises,5.8
32-2070,Fats and oils,32-311700,Seafood product preparation and packaging,1.8
32-2080,Beverages,32-312100,Beverages,81.2
32-2080,Beverages,32-311900,Other food products,10.1
32-2080,Beverages,60-550000,Management of companies and enterprises,6.1
32-2080,Beverages,43-493000,Warehousing and storage,1.3
32-2090,Miscellaneous food and kindred products,32-311900,Other food products,52.9
32-2090,Miscellaneous food and kindred products,32-311700,Seafood product preparation and packaging,24.9
32-2090,Miscellaneous food and kindred products,32-311800,Bakeries and tortilla manufacturing,13.2
32-2090,Miscellaneous food and kindred products,32-312100,Beverages,3.5
32-2090,Miscellaneous food and kindred products,60-550000,Management of companies and enterprises,1.9
32-2090,Miscellaneous food and kindred products,32-311300,Sugar and confectionery products,1.4
32-2110,Cigarettes,32-312200,Tobacco and tobacco products,87.6
32-2110,Cigarettes,60-550000,Management of companies and enterprises,12.2
32-2120,Cigars,32-312200,Tobacco and tobacco products,99
32-2140,Other tobacco products,32-312200,Tobacco and tobacco products,94.8
32-2140,Other tobacco products,60-550000,Management of companies and enterprises,3.6
32-2140,Other tobacco products,43-493000,Warehousing and storage,1.4
32-2210,"Broadwoven fabric mills, cotton",32-313200,Fabric mills,96.7
32-2210,"Broadwoven fabric mills, cotton",60-550000,Management of companies and enterprises,3
32-2220,"Broadwoven fabric mills, synthetics",32-313200,Fabric mills,97.1
32-2220,"Broadwoven fabric mills, synthetics",60-550000,Management of companies and enterprises,2.5
32-2230,"Broadwoven fabric mills, wool",32-313200,Fabric mills,74.9
32-2230,"Broadwoven fabric mills, wool",32-313300,Textile and fabric finishing mills,19
32-2230,"Broadwoven fabric mills, wool",60-550000,Management of companies and enterprises,6.1
32-2240,Narrow fabric mills,32-313200,Fabric mills,98.9
32-2250,Knitting mills,32-315100,Apparel knitting mills,55.2
32-2250,Knitting mills,32-313200,Fabric mills,22.3
32-2250,Knitting mills,32-313300,Textile and fabric finishing mills,15.9
32-2250,Knitting mills,60-550000,Management of companies and enterprises,3.2
32-2250,Knitting mills,43-493000,Warehousing and storage,2.8
32-2260,"Textile finishing, except wool",32-313300,Textile and fabric finishing mills,97.8
32-2260,"Textile finishing, except wool",60-550000,Management of companies and enterprises,1.4
32-2270,Carpets and rugs,32-314100,Textile furnishings mills,86.1
32-2270,Carpets and rugs,60-541500,Computer systems design and related services,8.4
32-2270,Carpets and rugs,43-493000,Warehousing and storage,4.2
32-2270,Carpets and rugs,60-550000,Management of companies and enterprises,1.3
32-2280,Yarn and thread mills,32-313100,"Fiber, yarn, and thread mills",96.9
32-2280,Yarn and thread mills,60-550000,Management of companies and enterprises,1.1
32-2290,Miscellaneous textile goods,32-313200,Fabric mills,39.4
32-2290,Miscellaneous textile goods,32-314900,Other textile product mills,34.9
32-2290,Miscellaneous textile goods,32-313300,Textile and fabric finishing mills,19.8
32-2290,Miscellaneous textile goods,32-313100,"Fiber, yarn, and thread mills",4.3
32-2290,Miscellaneous textile goods,60-550000,Management of companies and enterprises,1
32-2310,Men's and boys' suits and coats,32-315200,Cut and sew apparel manufacturing,98
32-2310,Men's and boys' suits and coats,60-550000,Management of companies and enterprises,1.1
32-2320,Men's and boys' furnishings,32-315200,Cut and sew apparel manufacturing,89.2
32-2320,Men's and boys' furnishings,60-550000,Management of companies and enterprises,5.2
32-2320,Men's and boys' furnishings,32-315900,Accessories and other apparel,2.3
32-2320,Men's and boys' furnishings,43-493000,Warehousing and storage,2
32-2330,Women's and misses' outerwear,32-315200,Cut and sew apparel manufacturing,97.4
32-2330,Women's and misses' outerwear,32-315900,Accessories and other apparel,1.1
32-2330,Women's and misses' outerwear,60-550000,Management of companies and enterprises,1
32-2340,Women's and children's undergarments,32-315200,Cut and sew apparel manufacturing,90.8
32-2340,Women's and children's undergarments,60-550000,Management of companies and enterprises,5.2
32-2340,Women's and children's undergarments,43-493000,Warehousing and storage,3.3
32-2350,"Hats, caps, and millinery",32-315900,Accessories and other apparel,78.5
32-2350,"Hats, caps, and millinery",32-315200,Cut and sew apparel manufacturing,21
32-2360,Girls' and children's outerwear,32-315200,Cut and sew apparel manufacturing,94.2
32-2360,Girls' and children's outerwear,43-493000,Warehousing and storage,3.9
32-2360,Girls' and children's outerwear,60-550000,Management of companies and enterprises,1.7
32-2380,Fur goods and miscellaneous apparel and accessories,32-315200,Cut and sew apparel manufacturing,67
32-2380,Fur goods and miscellaneous apparel and accessories,32-315900,Accessories and other apparel,29.4
32-2380,Fur goods and miscellaneous apparel and accessories,60-561400,Business support services,1.5
32-2380,Fur goods and miscellaneous apparel and accessories,60-550000,Management of companies and enterprises,1.2
32-2390,Miscellaneous fabricated textile products,32-314100,Textile furnishings mills,30.8
32-2390,Miscellaneous fabricated textile products,32-314900,Other textile product mills,28.9
32-2390,Miscellaneous fabricated textile products,31-336300,Motor vehicle parts,15.6
32-2390,Miscellaneous fabricated textile products,32-323000,Printing and related support activities,14.1
32-2390,Miscellaneous fabricated textile products,32-315200,Cut and sew apparel manufacturing,4.9
32-2390,Miscellaneous fabricated textile products,32-315900,Accessories and other apparel,2.6
32-2390,Miscellaneous fabricated textile products,32-313200,Fabric mills,1.1
32-2390,Miscellaneous fabricated textile products,31-339900,Other miscellaneous manufacturing,1
32-2610,Pulp mills,32-322100,"Pulp, paper, and paperboard mills",98.5
32-2610,Pulp mills,60-550000,Management of companies and enterprises,1.4
32-2620,Paper mills,32-322100,"Pulp, paper, and paperboard mills",96
32-2620,Paper mills,60-550000,Management of companies and enterprises,3.2
32-2630,Paperboard mills,32-322100,"Pulp, paper, and paperboard mills",98.2
32-2630,Paperboard mills,60-550000,Management of companies and enterprises,1.7
32-2650,Paperboard containers and boxes,32-322200,Converted paper products,98.3
32-2650,Paperboard containers and boxes,60-550000,Management of companies and enterprises,1.3
32-2670,Miscellaneous converted paper products,32-322200,Converted paper products,79
32-2670,Miscellaneous converted paper products,32-326100,Plastics products,14
32-2670,Miscellaneous converted paper products,60-550000,Management of companies and enterprises,6.7
32-2710,Newspapers,50-511100,"Newspaper, book, and directory publishers",95.9
32-2710,Newspapers,60-550000,Management of companies and enterprises,2.9
32-2720,Periodicals,50-511100,"Newspaper, book, and directory publishers",96.1
32-2720,Periodicals,60-550000,Management of companies and enterprises,1.7
32-2720,Periodicals,50-516000,Internet publishing and broadcasting,1.5
32-2730,Books,50-511100,"Newspaper, book, and directory publishers",63
32-2730,Books,32-323000,Printing and related support activities,30.8
32-2730,Books,60-550000,Management of companies and enterprises,2.5
32-2730,Books,43-493000,Warehousing and storage,1.6
32-2730,Books,50-512200,Sound recording industries,1.5
32-2740,Miscellaneous publishing,50-511100,"Newspaper, book, and directory publishers",91.1
32-2740,Miscellaneous publishing,50-516000,Internet publishing and broadcasting,4
32-2740,Miscellaneous publishing,60-550000,Management of companies and enterprises,2.3
32-2740,Miscellaneous publishing,50-512200,Sound recording industries,2
32-2750,Commercial printing,32-323000,Printing and related support activities,99.2
32-2760,Manifold business forms,32-323000,Printing and related support activities,93.7
32-2760,Manifold business forms,60-550000,Management of companies and enterprises,4.7
32-2760,Manifold business forms,60-541700,Scientific research and development services,1
32-2770,Greeting cards,50-511100,"Newspaper, book, and directory publishers",65.7
32-2770,Greeting cards,32-323000,Printing and related support activities,24.3
32-2770,Greeting cards,43-493000,Warehousing and storage,8.8
32-2770,Greeting cards,60-550000,Management of companies and enterprises,1.1
32-2780,Blankbooks and bookbinding,32-323000,Printing and related support activities,96.9
32-2780,Blankbooks and bookbinding,60-550000,Management of companies and enterprises,2.9
32-2790,Printing trade services,32-323000,Printing and related support activities,99.3
32-2810,Industrial inorganic chemicals,32-325100,Basic chemicals,85.3
32-2810,Industrial inorganic chemicals,32-325900,Other chemical products and preparations,5.9
32-2810,Industrial inorganic chemicals,60-550000,Management of companies and enterprises,4.5
32-2810,Industrial inorganic chemicals,31-331300,Alumina and aluminum production,2.7
32-2820,Plastics materials and synthetics,32-325200,"Resin, rubber, and artificial fibers",88.4
32-2820,Plastics materials and synthetics,60-550000,Management of companies and enterprises,6.5
32-2820,Plastics materials and synthetics,60-541700,Scientific research and development services,2.8
32-2820,Plastics materials and synthetics,60-541500,Computer systems design and related services,1.7
32-2830,Drugs,32-325400,Pharmaceuticals and medicines,87.8
32-2830,Drugs,60-550000,Management of companies and enterprises,4.3
32-2830,Drugs,60-541700,Scientific research and development services,3.5
32-2830,Drugs,60-541300,Architectural and engineering services,2.2
32-2840,"Soap, cleaners, and toilet goods",32-325600,"Soaps, cleaning compounds, and toiletries",82.5
32-2840,"Soap, cleaners, and toilet goods",60-550000,Management of companies and enterprises,16.3
32-2850,Paints and allied products,32-325500,"Paints, coatings, and adhesives",93.6
32-2850,Paints and allied products,60-550000,Management of companies and enterprises,3.8
32-2850,Paints and allied products,43-493000,Warehousing and storage,1.2
32-2860,Industrial organic chemicals,32-325100,Basic chemicals,83.2
32-2860,Industrial organic chemicals,60-550000,Management of companies and enterprises,10.1
32-2860,Industrial organic chemicals,60-541700,Scientific research and development services,3.1
32-2860,Industrial organic chemicals,32-325900,Other chemical products and preparations,2.6
32-2870,Agricultural chemicals,32-325300,Agricultural chemicals,93.8
32-2870,Agricultural chemicals,60-550000,Management of companies and enterprises,5.5
32-2890,Miscellaneous chemical products,32-325900,Other chemical products and preparations,52
32-2890,Miscellaneous chemical products,32-325500,"Paints, coatings, and adhesives",30.9
32-2890,Miscellaneous chemical products,60-550000,Management of companies and enterprises,7
32-2890,Miscellaneous chemical products,32-325100,Basic chemicals,6.1
32-2890,Miscellaneous chemical products,32-311900,Other food products,2.5
32-2910,Petroleum refining,32-324100,Petroleum and coal products,91.6
32-2910,Petroleum refining,60-550000,Management of companies and enterprises,6.6
32-2950,Asphalt paving and roofing materials,32-324100,Petroleum and coal products,96.3
32-2950,Asphalt paving and roofing materials,60-550000,Management of companies and enterprises,3.3
32-2990,Miscellaneous petroleum and coal products,32-324100,Petroleum and coal products,91.5
32-2990,Miscellaneous petroleum and coal products,60-550000,Management of companies and enterprises,6.9
32-3010,Tires and inner tubes,32-326200,Rubber products,99.1
32-3020,Rubber and plastics footwear,32-316200,Footwear,79.4
32-3020,Rubber and plastics footwear,60-550000,Management of companies and enterprises,19
32-3020,Rubber and plastics footwear,43-493000,Warehousing and storage,1.6
32-3050,"Hose, belting, gaskets, and packing",31-339900,Other miscellaneous manufacturing,57.5
32-3050,"Hose, belting, gaskets, and packing",32-326200,Rubber products,40.8
32-3050,"Hose, belting, gaskets, and packing",60-550000,Management of companies and enterprises,1.1
32-3060,"Fabricated rubber products, nec",32-326200,Rubber products,88.9
32-3060,"Fabricated rubber products, nec",32-313300,Textile and fabric finishing mills,3.2
32-3060,"Fabricated rubber products, nec",31-339100,Medical equipment and supplies.,2.6
32-3060,"Fabricated rubber products, nec",31-339900,Other miscellaneous manufacturing,1.7
32-3060,"Fabricated rubber products, nec",32-326100,Plastics products,1.3
32-3080,"Miscellaneous plastics products, nec",32-326100,Plastics products,93
32-3080,"Miscellaneous plastics products, nec",32-325900,Other chemical products and preparations,3.6
32-3080,"Miscellaneous plastics products, nec",31-337200,Office furniture and fixtures,1.2
32-3080,"Miscellaneous plastics products, nec",31-339100,Medical equipment and supplies,1.1
32-3110,Leather tanning and finishing,32-316900,"Leather and hide tanning and finishing, and other leather products",99.6
32-3140,"Footwear cut stock and footwear, except rubber",32-316200,Footwear,91.6
32-3140,"Footwear cut stock and footwear, except rubber",60-550000,Management of companies and enterprises,4.1
32-3140,"Footwear cut stock and footwear, except rubber",32-316900,"Leather and hide tanning and finishing, and other leather products",3
32-3160,Luggage,32-316900,"Leather and hide tanning and finishing, and other leather products",99.9
32-3170,Handbags and personal leather goods,32-316900,"Leather and hide tanning and finishing, and other leather products",80.1
32-3170,Handbags and personal leather goods,31-339900,Other miscellaneous manufacturing,10.4
32-3170,Handbags and personal leather goods,60-550000,Management of companies and enterprises,6.4
32-3170,Handbags and personal leather goods,43-493000,Warehousing and storage,2.1
32-3170,Handbags and personal leather goods,60-561900,Other support services,1
32-3190,"Leather gloves and mittens and leather goods, nec",32-316900,"Leather and hide tanning and finishing, and other leather products",80.1
32-3190,"Leather gloves and mittens and leather goods, nec",32-315900,Accessories and other apparel,14.7
32-3190,"Leather gloves and mittens and leather goods, nec",32-315200,Cut and sew apparel manufacturing,3.9
41-4010,Railroad transportation,43-482000,Rail transportation,97.4
41-4010,Railroad transportation,43-488900,"Support activities for other transportation, including rail",2.6
41-4110,Local and suburban transportation,65-621900,Other ambulatory health care services,41
41-4110,Local and suburban transportation,43-485900,Other ground passenger transportation,21.8
41-4110,Local and suburban transportation,43-485300,Taxi and limousine service,16.7
41-4110,Local and suburban transportation,43-485100,Urban transit systems,15.1
41-4110,Local and suburban transportation,43-485400,School and employee bus transportation,2.5
41-4110,Local and suburban transportation,43-487000,Scenic and sightseeing transportation,2.2
41-4120,Taxicabs,43-485300,Taxi and limousine service,99.9
41-4130,Intercity and rural bus transportation,43-485200,Interurban and rural bus transportation,94.3
41-4130,Intercity and rural bus transportation,60-550000,Management of companies and enterprises,2.8
41-4130,Intercity and rural bus transportation,80-811100,Automotive repair and maintenance,1.1
41-4150,School buses,43-485400,School and employee bus transportation,99.1
41-4170,"Bus charter service, and bus terminal and service facilities",43-485500,Charter bus industry,94.5
41-4170,"Bus charter service, and bus terminal and service facilities",43-488400,Support activities for road transportation,5.4
41-4210,"Trucking and courier services, except air",43-484100,General freight trucking,61.3
41-4210,"Trucking and courier services, except air",43-484200,Specialized freight trucking,23.8
41-4210,"Trucking and courier services, except air",60-562100,Waste collection,6.1
41-4210,"Trucking and courier services, except air",43-492100,Couriers,4.3
41-4220,Public warehousing and storage,43-493000,Warehousing and storage,85.4
41-4220,Public warehousing and storage,55-531100,Lessors of real estate,13.8
41-4230,Trucking terminal facilities,43-488400,Support activities for road transportation,99.7
41-4440,Water transportation of freight,43-483100,"Sea, coastal, and Great Lakes transportation",56.9
41-4440,Water transportation of freight,43-483200,Inland water transportation,37.9
